Label (Grouping),        No vehicle available
Census Tract 1061.13; Los Angeles County; California!!Male!!Margin of Error,±1.3
Census Tract 1061.13; Los Angeles County; California!!Female!!Estimate,0.00%
Census Tract 1061.13; Los Angeles County; California!!Female!!Margin of Error,±5.3
Census Tract 1061.14; Los Angeles County; California!!Total!!Estimate,1.90%
Census Tract 1061.14; Los Angeles County; California!!Total!!Margin of Error,±2.0
Census Tract 1061.14; Los Angeles County; California!!Male!!Estimate,1.10%
Census Tract 1061.14; Los Angeles County; California!!Male!!Margin of Error,±1.3
Census Tract 1061.14; Los Angeles County; California!!Female!!Estimate,2.60%
Census Tract 1061.14; Los Angeles County; California!!Female!!Margin of Error,±3.1
Census Tract 1064.03; Los Angeles County; California!!Total!!Estimate,0.00%
Census Tract 1064.03; Los Angeles County; California!!Total!!Margin of Error,±2.4
Census Tract 1064.03; Los Angeles County; California!!Male!!Estimate,0.00%
Census Tract 1064.03; Los Angeles County; California!!Male!!Margin of Error,±4.7
Census Tract 1064.03; Los Angeles County; California!!Female!!Estimate,0.00%
Census Tract 1064.03; Los Angeles County; California!!Female!!Margin of Error,±4.8
Census Tract 1064.05; Los Angeles County; California!!Total!!Estimate,1.90%
Census Tract 1064.05; Los Angeles County; California!!Total!!Margin of Error,±2.1
Census Tract 1064.05; Los Angeles County; California!!Male!!Estimate,2.70%
Census Tract 1064.05; Los Angeles County; California!!Male!!Margin of Error,±3.2
Census Tract 1064.05; Los Angeles County; California!!Female!!Estimate,1.00%
Census Tract 1064.05; Los Angeles County; California!!Female!!Margin of Error,±1.6
Census Tract 1064.06; Los Angeles County; California!!Total!!Estimate,0.70%
Census Tract 1064.06; Los Angeles County; California!!Total!!Margin of Error,±1.0
Census Tract 1064.06; Los Angeles County; California!!Male!!Estimate,0.50%
Census Tract 1064.06; Los Angeles County; California!!Male!!Margin of Error,±0.8
Census Tract 1064.06; Los Angeles County; California!!Female!!Estimate,0.80%
Census Tract 1064.06; Los Angeles County; California!!Female!!Margin of Error,±1.4
Census Tract 1064.07; Los Angeles County; California!!Total!!Estimate,1.40%
Census Tract 1064.07; Los Angeles County; California!!Total!!Margin of Error,±1.7
Census Tract 1064.07; Los Angeles County; California!!Male!!Estimate,2.70%
Census Tract 1064.07; Los Angeles County; California!!Male!!Margin of Error,±3.4
Census Tract 1064.07; Los Angeles County; California!!Female!!Estimate,0.00%
Census Tract 1064.07; Los Angeles County; California!!Female!!Margin of Error,±9.2
Census Tract 1064.08; Los Angeles County; California!!Total!!Estimate,2.60%
Census Tract 1064.08; Los Angeles County; California!!Total!!Margin of Error,±2.0
Census Tract 1064.08; Los Angeles County; California!!Male!!Estimate,2.60%
Census Tract 1064.08; Los Angeles County; California!!Male!!Margin of Error,±2.0
Census Tract 1064.08; Los Angeles County; California!!Female!!Estimate,2.60%
Census Tract 1064.08; Los Angeles County; California!!Female!!Margin of Error,±3.2
Census Tract 1065.10; Los Angeles County; California!!Total!!Estimate,0.00%
Census Tract 1065.10; Los Angeles County; California!!Total!!Margin of Error,±1.6
Census Tract 1065.10; Los Angeles County; California!!Male!!Estimate,0.00%
Census Tract 1065.10; Los Angeles County; California!!Male!!Margin of Error,±2.7
Census Tract 1065.10; Los Angeles County; California!!Female!!Estimate,0.00%
Census Tract 1065.10; Los Angeles County; California!!Female!!Margin of Error,±3.7
Census Tract 1065.20; Los Angeles County; California!!Total!!Estimate,11.90%
Census Tract 1065.20; Los Angeles County; California!!Total!!Margin of Error,±12.8
Census Tract 1065.20; Los Angeles County; California!!Male!!Estimate,13.00%
Census Tract 1065.20; Los Angeles County; California!!Male!!Margin of Error,±13.5
Census Tract 1065.20; Los Angeles County; California!!Female!!Estimate,10.70%
Census Tract 1065.20; Los Angeles County; California!!Female!!Margin of Error,±12.2
Census Tract 1066.03; Los Angeles County; California!!Total!!Estimate,3.20%
Census Tract 1066.03; Los Angeles County; California!!Total!!Margin of Error,±4.8
Census Tract 1066.03; Los Angeles County; California!!Male!!Estimate,4.40%
Census Tract 1066.03; Los Angeles County; California!!Male!!Margin of Error,±6.7
Census Tract 1066.03; Los Angeles County; California!!Female!!Estimate,1.80%
Census Tract 1066.03; Los Angeles County; California!!Female!!Margin of Error,±2.8
Census Tract 1066.04; Los Angeles County; California!!Total!!Estimate,2.70%
Census Tract 1066.04; Los Angeles County; California!!Total!!Margin of Error,±3.2
Census Tract 1066.04; Los Angeles County; California!!Male!!Estimate,1.40%
Census Tract 1066.04; Los Angeles County; California!!Male!!Margin of Error,±2.4
Census Tract 1066.04; Los Angeles County; California!!Female!!Estimate,4.80%
Census Tract 1066.04; Los Angeles County; California!!Female!!Margin of Error,±5.8
Census Tract 1066.41; Los Angeles County; California!!Total!!Estimate,5.20%
Census Tract 1066.41; Los Angeles County; California!!Total!!Margin of Error,±5.9
Census Tract 1066.41; Los Angeles County; California!!Male!!Estimate,3.80%
Census Tract 1066.41; Los Angeles County; California!!Male!!Margin of Error,±4.3
Census Tract 1066.41; Los Angeles County; California!!Female!!Estimate,6.50%
Census Tract 1066.41; Los Angeles County; California!!Female!!Margin of Error,±7.4
Census Tract 1066.42; Los Angeles County; California!!Total!!Estimate,0.00%
Census Tract 1066.42; Los Angeles County; California!!Total!!Margin of Error,±2.6
Census Tract 1066.42; Los Angeles County; California!!Male!!Estimate,0.00%
Census Tract 1066.42; Los Angeles County; California!!Male!!Margin of Error,±4.7
Census Tract 1066.42; Los Angeles County; California!!Female!!Estimate,0.00%
Census Tract 1066.42; Los Angeles County; California!!Female!!Margin of Error,±5.7
Census Tract 1066.43; Los Angeles County; California!!Total!!Estimate,1.10%
Census Tract 1066.43; Los Angeles County; California!!Total!!Margin of Error,±1.3
Census Tract 1066.43; Los Angeles County; California!!Male!!Estimate,1.80%
Census Tract 1066.43; Los Angeles County; California!!Male!!Margin of Error,±2.1
Census Tract 1066.43; Los Angeles County; California!!Female!!Estimate,0.00%
Census Tract 1066.43; Los Angeles County; California!!Female!!Margin of Error,±5.5
Census Tract 1066.45; Los Angeles County; California!!Total!!Estimate,9.90%
Census Tract 1066.45; Los Angeles County; California!!Total!!Margin of Error,±8.6
Census Tract 1066.45; Los Angeles County; California!!Male!!Estimate,12.20%
Census Tract 1066.45; Los Angeles County; California!!Male!!Margin of Error,±9.7
Census Tract 1066.45; Los Angeles County; California!!Female!!Estimate,7.60%
Census Tract 1066.45; Los Angeles County; California!!Female!!Margin of Error,±7.7
Census Tract 1066.46; Los Angeles County; California!!Total!!Estimate,5.60%
Census Tract 1066.46; Los Angeles County; California!!Total!!Margin of Error,±6.2
Census Tract 1066.46; Los Angeles County; California!!Male!!Estimate,5.20%
Census Tract 1066.46; Los Angeles County; California!!Male!!Margin of Error,±5.7
Census Tract 1066.46; Los Angeles County; California!!Female!!Estimate,6.00%
Census Tract 1066.46; Los Angeles County; California!!Female!!Margin of Error,±6.8
Census Tract 1066.48; Los Angeles County; California!!Total!!Estimate,0.00%
Census Tract 1066.48; Los Angeles County; California!!Total!!Margin of Error,±1.8
Census Tract 1066.48; Los Angeles County; California!!Male!!Estimate,0.00%
Census Tract 1066.48; Los Angeles County; California!!Male!!Margin of Error,±3.2
Census Tract 1066.48; Los Angeles County; California!!Female!!Estimate,0.00%
Census Tract 1066.48; Los Angeles County; California!!Female!!Margin of Error,±4.2
Census Tract 1066.49; Los Angeles County; California!!Total!!Estimate,0.00%
Census Tract 1066.49; Los Angeles County; California!!Total!!Margin of Error,±3.6
Census Tract 1066.49; Los Angeles County; California!!Male!!Estimate,0.00%
Census Tract 1066.49; Los Angeles County; California!!Male!!Margin of Error,±7.1
Census Tract 1066.49; Los Angeles County; California!!Female!!Estimate,0.00%
